x,y,z
1.0,0.0,8.999399123799748e-05
0.96875,0.0,8.718570881606412e-05
0.9804828204158901,0.01897395216934393,8.825806088275039e-05
0.9990133642141358,0.03139525976465669,8.994953033451483e-05
0.9526584163005309,0.01590168734903875,8.574933500343764e-05
0.9644214429930684,0.03445626760075644,8.685020843844731e-05
0.9755020772962286,0.05540986975345811,8.793334864415169e-05
0.9980267284282716,0.06279051952931337,8.999415833883937e-05
0.9375,0.0,8.437112351245208e-05
0.9353468374617522,0.02942760629732203,8.421618888805137e-05
0.90625,0.0,8.155069399884467e-05
0.9394994109712607,0.05864021067547411,8.471525595915927e-05
0.9666243606494813,0.07738758680674052,8.72701375569516e-05
0.9950707148713747,0.09406187654680881,8.994992127090898e-05
0.902819534292857,0.04069152814482464,8.1327771892447e-05
0.9108743664734655,0.07068448316507447,8.222103163040832e-05
0.9333895185287949,0.084157143589047,8.433948619310067e-05
0.9489935361140087,0.1052512016664919,8.592676326204217e-05
0.9740212092104666,0.1078475037132699,8.819200781962675e-05
0.9921147013144779,0.1253332335643043,8.999489043349717e-05
0.875,0.0,7.874850670336358e-05
0.883891831955194,0.0237763705523421,7.957020037964037e-05
0.8871779579468492,0.06286064923779251,8.003703667237558e-05
0.8640448924418456,0.05350151280737321,7.790498573932922e-05
0.8585362624605937,0.0249911000556397,7.72941946291399e-05
0.84375,0.0,7.592888461426631e-05
0.8958751360419108,0.09787787866408526,8.110168849363695e-05
0.9199419935625973,0.1195197073001761,8.348279808388435e-05
0.9411396627884063,0.1259698432183759,8.545695187472823e-05
0.9611638384079007,0.1354555073875164,8.735426237397699e-05
0.9872009760215833,0.1563572740750144,8.9949588091098e-05
0.8711637830460583,0.08199904929184275,7.874557591231102e-05
0.8686259044130511,0.1157714298002062,7.885972599145066e-05
0.8928528545104198,0.1229704410848852,8.111143617686545e-05
0.9013485125655745,0.1467736902056926,8.218551807024609e-05
0.9318414365803133,0.1496193025383695,8.493113450994085e-05
0.9575037847521071,0.1653123785507326,8.744465868340021e-05
0.9822872507286887,0.1873813145857246,8.999700115388256e-05
0.8420395207761402,0.07818256709596592,7.610477159319372e-05
0.8414966445850982,0.05554813676364083,7.589494573986477e-05
0.8313862793247828,0.03528998617355275,7.488182055954649e-05
0.8125,0.0,7.311099238185999e-05
0.8543740263053979,0.09709021996889472,7.738602018790856e-05
0.8364132660847756,0.1107668590338029,7.592793534906055e-05
0.8409354768972025,0.1408683548667183,7.673217975709934e-05
0.8707611822237944,0.148300499650037,7.948878871003539e-05
0.8894266557967111,0.1683755455649198,8.146598671363691e-05
0.9131891157014737,0.1750175575381712,8.367710810357375e-05
0.9407496416515686,0.1902949212032901,8.637608636993573e-05
0.9788612283286744,0.2027084577305072,8.996668968371277e-05
0.8110436016678523,0.06666545714707854,7.323397220948129e-05
0.7984556768226792,0.03622146939520783,7.192537852363106e-05
0.78125,0.0,7.03031864593463e-05
0.8196069551933081,0.09108706982149928,7.421241442437049e-05
0.8131393404935887,0.1244443278386084,7.402692406376897e-05
0.8151009195355174,0.156965748691088,7.470016824218234e-05
0.8403338498231657,0.1713016998500558,7.717820248994834e-05
0.867888068018861,0.1804113280618792,7.977330600005441e-05
0.8936753648735759,0.1997601111620167,8.240802572419872e-05
0.9179842171078818,0.1988655660586643,8.452751205556989e-05
0.9493222392788125,0.2151310629657566,8.760277036632246e-05
0.97543520592866,0.2180356008752897,8.99476096115404e-05
0.7870384067717799,0.05533615384313931,7.100418013169636e-05
0.7669288810377135,0.04577936611346396,6.914198603141686e-05
0.765625,0.02024175955077295,6.8924475677188e-05
0.75,0.0,6.74953868837192e-05
0.7992411073939673,0.08451612210405471,7.232884833850085e-05
0.7931395915513298,0.1063126205947457,7.201426437539216e-05
0.7897251982009229,0.1378803505398888,7.214461518693487e-05
